,0
0,Improving Text Retrieval Efficiency with Pattern Structures on Parse Thicketsr
1,Learning Parse Structure of Paragraphs and its Applications in Searchr
2,We propose to combine parse forest and discourse structures to form a unified representation for a paragraph of text   The purpose of this representation is to tackle answering complex paragraphsized questions in a number of products and servicesrelated domains A candidate set of answers obtained by a keyword search is reranked by matching the sequence of parse trees of an answer with that of the question To do that a graph representation and learning technique for parse structures for paragraphs of text have been developed Parse Thicket PT as a set of syntactic parse trees augmented by a number of arcs for intersentence wordword relations such as coreference and taxonomic relations is introduced These arcs are also derived from other sources including Speech Act and Rhetoric Structure theories The operation of generalization of logical formulas is extended towards parse trees and then towards parse thickets to compute similarity between texts r
3,We provide a detailed illustration of how PTs are built from parse trees and generalized The proposed approach is subject to evaluation in the product search and recommendation domain of eBaycom where user queries include product names desired features and expressions for user needs in multiple sentences We demonstrate that search relevance is improved by PT generalization using Bing search engine API as a baseline We perform the comparative analysis of contribution of various sources of discourse information to the relevance An open source plugin for SOLR is developed so that the proposed technology can be easily integrated with industrial search enginesr
4,Keywords Parse Forest Parse Thicket Graph Learningr
5,Parse trees were found fairly useful in solving text classification and text relevance problems including search Parse trees have become a standard form of representing the syntactic structures of sentences Abney  Punyakanok et al  A number of approaches to learning parse trees have been proposed including convolution kernel based on support vector SVM learning Collins and Duffy  Haussler   Moschitti  and structural similarity based on direct matching of parse trees for sentences Galitsky et al  r
6,As to the structure of a paragraph of text there is no generally accepted model Such a model needs to rely on the parse forest for the sentences this paragraph comprises and also need to include a paragraphlevel discourse information  HowIn this study we will attempt to represent a linguistic structure of a paragraph of text based on parse trees for each sentence of this paragraph We will refer to the sequence of parse trees plus a number of arcs for intersentence relations of the discourse type between the nodes for words as Parse Thicket PT A PT is a graph which includes parse trees for each sentence as well as additional arcs for intersentence relationship Parse thickets are inspired by the problem of answering complex paragraphsize questions which needs to be matched with paragraphs of candidate answersr
7,We explore a number of sources for the links between words in a paragraph other than syntactic Our sources are coreferences entityentity and other taxonomic relations discourse relations such as rhetoric relations between elementary discourse units and speech act relations For each of these sources we determine whether it can be leveraged by more accurate assessment of similarity between paragraphs of text The main goal here is to make similarity measure independent of how text  phrases is distributed through sentencesr
8,A vast majority of linguistic theories from cognitive to functional theories of grammars rely on need some form of representation of structured data for natural language processing Lamberti et al  Once a linguistic representation becomes richer than the bagofwords there is a need for a systematic way to compare such representations However there is a lack of formal models to compare linguistic structures beyond parse trees for individual sentences In this study we introduce PTs as a structural machine learning framework to operate with multiple syntactic parse trees for sentences in paragraphs of text r
9,Nowadays commercial search engines are not very good at tackling paragraphlevel queries consisting of multiple sentences They either find very similar documents if they are available or very dissimilar ones so that search results are not very useful to the user This is due to the fact that for multisentences queries it is rather hard to learn ranking based on user clicks since the number of longer queries is practically unlimited Hence we need a linguistic technology which would rank candidate answers based on structural similarity between the question and the answer In this study we build a graphbased representation for a paragraph of text so that we can track the structural difference between these paragraphs taking into account not only parse trees but the whole discourse of both the question and answers r
